,world_rank,university_name,rscores
0,1,California Institute of Technology,95.1042286239
1,2,University of Oxford,93.953870333
2,3,Stanford University,93.7207564384
3,4,University of Cambridge,92.5968152382
4,5,Massachusetts Institute of Technology,91.8445347804
5,7,Princeton University,89.9186834266
6,8,Imperial College London,88.9483603712
7,9,ETH Zurich – Swiss Federal Institute of Technology Zurich,88.0247983071
8,10,University of Chicago,87.8336921128
9,11,Johns Hopkins University,87.5169287564
10,12,Yale University,87.2481397812
11,13,"University of California, Berkeley",87.1188882306
12,14,University College London,86.9205751442
13,16,"University of California, Los Angeles",85.7570515752
14,17,University of Pennsylvania,85.1865890063
15,18,Cornell University,83.8940112696
16,20,Duke University,82.6074088392
17,21,University of Michigan,82.3307428851
18,22,Carnegie Mellon University,82.3794359611
19,24,University of Edinburgh,80.082743955
20,25,Northwestern University,79.4438058853
21,26,National University of Singapore,78.8646320044
22,27,King’s College London,78.0472848985
23,28,Karolinska Institute,77.4579201766
24,29,LMU Munich,77.2231626565
25,30,New York University,77.1667008349
26,31,École Polytechnique Fédérale de Lausanne,75.9066546816
27,32,University of Washington,75.6185322484
28,33,University of Melbourne,75.232317679
29,34,University of British Columbia,75.0833891731
30,35,KU Leuven,74.850306644
31,36,University of Illinois at Urbana-Champaign,74.531576549
32,37,Heidelberg University,74.3379452358
33,38,McGill University,72.2518552884
34,39,"University of California, San Diego",72.2968751169
35,39,"University of California, Santa Barbara",72.1086086363
36,41,Georgia Institute of Technology,72.0011345642
37,44,"University of California, Davis",70.8109394671
38,44,University of Hong Kong,70.7004407564
39,46,University of Texas at Austin,70.4156466796
40,47,Tsinghua University,69.9413764789
41,47,Wageningen University and Research Center,69.9201120955
42,50,University of Wisconsin-Madison,69.7164496181
43,52,Australian National University,69.2023055284
44,53,Technical University of Munich,69.3282835287
45,54,École Normale Supérieure,68.6845248725
46,55,Nanyang Technological University,67.9597025659
47,56,University of Manchester,67.8297081901
48,56,University of Sydney,67.9058918684
49,58,University of Amsterdam,67.7720720779
50,60,The University of Queensland,66.6978585913
51,62,Utrecht University,66.5662304897
52,63,University of North Carolina at Chapel Hill,66.451570977
53,64,Boston University,66.0686471097
54,65,Delft University of Technology,65.6474575318
55,65,University of Minnesota,65.9473758967
56,67,Leiden University,65.6224841283
57,68,University of Southern California,65.4992355499
58,69,University of Bristol,64.0730504847
59,70,Durham University,63.3031769502
60,71,Erasmus University Rotterdam,63.4040929807
61,72,Free University of Berlin,62.9279153534
62,73,Monash University,62.3328852745
63,74,University of Groningen,62.303475511
64,75,Pennsylvania State University,62.2959664812
65,76,University of Glasgow,61.6661973491
66,76,University of Helsinki,61.8854113943
67,78,University of Tübingen,61.5778324507
68,79,University of Pittsburgh,61.5456019988
69,80,University of Warwick,61.0494912874
70,81,Uppsala University,61.1561355827
71,82,University of Copenhagen,60.8281686731
72,82,University of New South Wales,60.7704177435
73,84,University of Freiburg,60.6526207566
74,86,University of St Andrews,60.186694018
75,87,Vanderbilt University,60.1803636672
76,88,Maastricht University,59.8323724075
77,90,Emory University,59.6619301857
78,90,Ohio State University,59.6278870616
79,93,University of Exeter,59.2180881105
80,94,Georgetown University,58.7156387467
81,94,McMaster University,58.521724944
82,97,University of Sheffield,58.387235326
83,98,Queen Mary University of London,58.3354628377
84,99,University of Göttingen,57.8499940874
85,99,Michigan State University,57.9032296635
86,101,University of Basel,57.544630584
87,101,École Polytechnique,57.5114789805
88,101,Rice University,57.7727675716
89,104,Dartmouth College,57.8720565975
90,104,University of Zurich,57.4536665843
91,106,Aarhus University,57.5347931611
92,106,"University of California, Irvine",57.5538380083
93,106,University of Mannheim,57.5828086647
94,108,University of Notre Dame,57.5148378078
95,109,University of Western Australia,57.2224026043
96,110,RWTH Aachen University,57.0889765294
97,110,University of Southampton,56.8993118931
98,112,Scuola Normale Superiore di Pisa,57.0963012171
99,113,University of Montreal,56.7522254828
100,113,Pierre and Marie Curie University,56.8239137238
101,116,Pohang University of Science and Technology,56.8815091861
102,117,"University of Maryland, College Park",56.6210109043
103,118,Ghent University,56.5546461678
104,119,University of Birmingham,55.9149310071
105,120,University of Bern,55.7171638487
106,120,University of Cape Town,55.93984124
107,123,University of Erlangen-Nuremberg,55.9376712537
108,123,"Rutgers, the State University of New Jersey",55.9711725635
109,125,University of Münster,55.9305235665
110,125,Radboud University Nijmegen,55.7969568573
111,127,University of Colorado Boulder,55.7911368202
112,127,Tufts University,55.740993112
113,129,"Royal Holloway, University of London",55.418829969
114,130,Lancaster University,55.3303277963
115,131,University of Geneva,55.0634105466
116,133,Case Western Reserve University,55.3058165099
117,133,University of Leeds,55.0247487417
118,136,Stockholm University,54.7242109094
119,137,University of Alberta,54.3369256998
120,138,Chinese University of Hong Kong,54.2187656331
121,138,Karlsruhe Institute of Technology,54.3740027582
122,140,University of Sussex,54.1551977216
123,141,University of Massachusetts,54.3159027406
124,142,University of Vienna,53.9108068244
125,143,University of Nottingham,53.8237614839
126,144,"University of California, Santa Cruz",53.8179863103
127,146,Autonomous University of Barcelona,53.9205389372
128,147,University of Virginia,53.2544229792
129,148,Korea Advanced Institute of Science and Technology (KAIST),52.9700026739
130,149,University of Adelaide,52.6151813998
131,149,University of East Anglia,52.7474838076
132,149,University of Twente,52.6589071399
133,153,Sungkyunkwan University (SKKU),52.6984580283
134,154,VU University Amsterdam,52.4779288509
135,155,KTH Royal Institute of Technology,52.1214248157
136,156,University of Cologne,52.1770491134
137,157,University of Liverpool,51.955780896
138,158,TU Dresden,51.9992089833
139,158,University of Rochester,52.0450256723
140,160,Trinity College Dublin,51.7389133371
141,161,Lomonosov Moscow State University,51.6842894973
142,161,University of Miami,51.7383761816
143,163,University of Arizona,51.6629588628
144,164,Pompeu Fabra University,51.1308210539
145,164,University of Reading,50.8449623838
146,167,"University of California, Riverside",50.9895979143
147,167,University of Leicester,50.8288115014
148,167,National Taiwan University,51.1191586254
149,167,Technical University of Denmark,50.9027668458
150,167,Université Catholique de Louvain,50.9602763254
151,172,University of Aberdeen,50.7527994879
152,172,University of Auckland,50.7544662726
153,174,University of Barcelona,50.9541213928
154,175,University of Konstanz,50.6105580706
155,176,Eindhoven University of Technology,50.3860290821
156,178,Hebrew University of Jerusalem,50.3974717906
157,179,University of Waterloo,49.9787046768
158,180,Scuola Superiore Sant’Anna,50.3765053231
159,182,University of Bergen,49.9505418392
160,182,Cardiff University,49.827523399
161,182,University of Utah,50.1165908518
162,185,Brandeis University,49.9173234636
163,185,University of Dundee,49.7328033735
164,185,University of Würzburg,49.7879484221
165,189,Arizona State University,49.804340694
166,190,University of Antwerp,49.4766667391
167,190,Boston College,49.5356042726
168,192,Ulm University,49.3848464036
169,193,University of Luxembourg,49.4585373635
170,193,Texas A&M University,49.1632389662
