,title,company,location,reviews,summary,hourly,monthly,yearly,est_sal
0,Staff Data Engineer - QE,Intuit,"Mountain View, CA 94043",466,"Work with Data Engineers, Product Managers and Data Scientists to identify datasets needed for deep customer insights and for building operational propensity...",0,0,0,
1,Data Scientist,C3 IoT,"Redwood City, CA",,"In addition, you will help find the appropriate machine learning / data mining algorithms to answer these questions....",0,0,0,
2,Research Scientist,Accenture,"San Francisco, CA 94105","6,902","We’d love to discuss our Research Scientist opportunity with you. No two days at Accenture are the same but, as the Research Scientist, you’ll frequently be...",0,0,0,
3,"Machine Learning Deployment Engineer, Professional Services,...",Google,"San Francisco, CA","1,216",Experience interpreting technical data and creating reports with data. Experience with data analytics and/or data visualization techniques and software....,0,0,0,
4,Data Engineer,Opendoor,"San Francisco, CA",2,Collaborate with Data Scientists to derive features that improve our pricing models. Nelson is a data scientist who was formerly on the AdWords team at Google....,0,0,0,
5,"Research Scientist, AI",eBay,"San Francisco, CA",746,"We are looking for talented applied scientists to work on problems in Natural Language Understanding, Machine Learning and Artificial Intelligence....",0,0,0,
6,Software Engineer (Machine Learning) - TellApart,TellApart,"San Francisco, CA 94103 (South Of Market area)",,Data is at the core of everything we do at TellApart - we thrive and prosper based on our ability to find insights in our data and apply them to drive revenue...,0,0,0,
7,Statistical Analyst,Esurance,"San Francisco, CA",101,"Defines business problems, identifies data requirements, isolates data elements and collaborate with IT to facilitate implementation of technical data solutions...",0,0,0,
8,Data Science Manager- Intelligent Spend,Uber,"San Francisco, CA 94103 (South Of Market area)",153,"Are you interested in working at the intersection of applied microeconomic research, operations engineering, and data science?...",0,0,0,
9,"Vector Biologist, Debug Project, Verily Life Sciences",Google,"South San Francisco, CA","1,216","Strong interpersonal, data presentation, and communication skills. The Debug Project is seeking a motivated scientist with broad training in vector biology....",0,0,0,
10,Statistical Programmer,Beacon Hill Pharma,"San Francisco, CA",,"May partner with biostatisticians and clinical data management staff in establishing standards for clinical data collection, management and/or reporting of data...",0,0,0,
11,Machine Learning Engineer,Opendoor,"San Francisco, CA",2,ML Engineers work closely with Data Scientists and Data Engineers to research and productize predictive services that power our data products....,0,0,0,
12,Quantitative Analyst (Seeds & Planting),The Climate Corporation,"San Francisco, CA",2,"This team works with data scientists and domain scientists across various disciplines, leveraging weather data, forecasts, agricultural statistics, geological...",0,0,0,
13,Save lives building data science infrastructure,Blue Owl,"San Francisco, CA",,Work with data scientists to carry out site-wide analytics and build A/B test experiments for hypothesis testing....,0,0,0,
14,Distinguished Research Scientist,Accenture,"San Francisco, CA 94105","6,902","Minimum 12 years' of experience in machine learning, machine reasoning, natural language processing, knowledge discovery and data mining, unstructured data...",0,0,0,
15,Associate Scientist/Scientist – Drug Metabolism,Genentech,"South San Francisco, CA",271,Integrate metabolism data to guide chemistry design teams. The level of the position (Associate Scientist or Scientist) will depend on the qualifications of the...,0,0,0,
16,Data Scientist - Relocation to China (Chinese Visa required),Booking.com,"San Francisco, CA",141,"Data Scientist – China Localisation. Data Science, Analytics & Research. As a data scientist, you can expect to independently support these functions at...",0,0,0,
17,Data Scientist- Communications Platforms,Uber,"San Francisco, CA 94105",153,Working on a cross functional team of data scientists and engineers who support Uber’s existing communications technology and providing ad-hoc support of any...,0,0,0,
18,BIOINFORMATICS SCIENTIST I/II,"GRAIL, Inc.","San Francisco, CA",,"The Bioinformatics Scientist I/II will be part of the research team, and will be responsible for the development of methods, analysis, pipelines, and algorithms...",0,0,0,
19,Big Data Machine Learning Engineer,Aarkay Technologies Inc.,"San Francisco Bay Area, CA",,"Bachelors in Computer Science or Equivalent- experience in Machine Learning, Data Analytics, Big Data. Big data machine learning engineer*....",0,0,0,
20,Quantitative Analyst (Geospatial),The Climate Corporation,"San Francisco, CA",2,Collaboratively develop needed methodology for data mining and data quality automation. Understand the various data pipelines and caveats of different agronomic...,0,0,0,
21,Bioinformatics Scientist - PCR Primer Design,Thermo Fisher Scientific,"San Francisco, CA",980,Experience with next generation sequencing data. Analyze sequence data and mine public databases for sequence content....,0,0,0,
22,Senior Data Scientist,Demandbase,"San Francisco, CA",2,"As the Senior Data Scientist, you’ll be responsible for developing and testing hypotheses on behavioral responses in B2B marketing, creating models that extract...",0,0,0,
23,Machine Learning Engineer,Index,"San Francisco, CA",31,Have experience with Hadoop or other Big Data platforms. Have designed novel approaches for analyzing high volumes of data....,0,0,0,
24,"Research Scientist, Advanced Modeling, Health Analytics",Precision For Value,"Oakland, CA",3,"Administrative hospital data. Electronic health record data. Administrative health insurance claims data. Survey data (NHANES, MEPS, NHIS, HRS, etc.)....",0,0,0,
25,Big Data Senior Consultant,Deloitte,"San Francisco, CA","3,458","Experienceworking as a Data Scientist. Knowledgeof data, master data and metadata related standards, processes and technology....",0,0,0,
26,Visualization Analyst,Smule,"San Francisco, CA 94107 (South Of Market area)",2,Techniques to data sets. Approach to visualize the underlying stories beneath data. Familiar with data visualization best practices and has strong....,0,0,0,
27,"User Insights Researcher, Product",Omada Health,"San Francisco, CA",,"Digging into the whys behind patterns in our data. We are looking for a User Insights Researcher to explore what is and isn't working for participants, and to...",0,0,0,
28,Data and Policy Analyst - Statistical Programmer,Acumen LLC,"Burlingame, CA 94010",,"Data and Policy Analysts perform a wide array of functions as part of the research process. This position is responsible for managing and analyzing data,...",0,0,0,
29,Save lives with machine learning,Blue Owl,"San Francisco, CA",,"Requirements for all data scientists. Expert in Python and core libraries used by data scientists (Numpy, Scipy, Pandas, Scikit-learn, Matplotlib/Seaborn, etc.)...",0,0,0,
30,"Senior Software Engineer, Data Science",Marin Software,"San Francisco, CA 94105",17,Join Marin Software as a Data Scientist to apply your real world experience of data analysis and machine learning techniques on vast data sets....,0,0,0,
31,Data Scientist,Intuit,"Mountain View, CA 94043",466,"Develop tools of automating data processing, cleansing, and verifying data integrity. Perform data mining using state-of-the art methods....",0,0,0,
32,Save lives as a software engineer,Blue Owl,"San Francisco, CA",,"Experience working closely with data scientists. Created geospatial services before, such as maps data, routing and travel time prediction algorithms, traffic...",0,0,0,
33,Senior Data Scientist,Stem Inc,"San Francisco Bay Area, CA",,"As a Data Scientist at Stem, you’ll be working at the forefront of the storage revolution. Hands on experience with big data and streaming technologies (Hadoop...",0,0,0,
34,Lead Data Scientist,OI,"San Francisco, CA",505,"Lead Data Scientist, Machine Learning- Leading a team of 3. As a Lead Data Scientist, you will head up a 2-4 person team building state of the art algorithms...",0,0,0,
35,Head of Data Science,YouCaring,"San Francisco, CA 94108 (Financial District area)",,Leads a team of data scientists. Head of Data Science:. Constantly driving our data model forward. Ensures data integrity across all platforms and databases....,0,0,0,
