,start,end,days,url
0,"Jan 20, 2015","Feb 19, 2015",30,/projects/elanlee/exploding-kittens
1,"Aug 30, 2016","Oct 19, 2016",50,/projects/antsylabs/fidget-cube-a-vinyl-desk-toy
2,"May 28, 2014","Jul 2, 2014",35,/projects/readingrainbow/bring-reading-rainbow-back-for-every-child-everywh
3,"Mar 13, 2013","Apr 12, 2013",30,/projects/559914737/the-veronica-mars-movie-project
4,"Feb 8, 2012","Mar 13, 2012",33,/projects/doublefine/double-fine-adventure
5,"Feb 24, 2015","Mar 27, 2015",31,/projects/597507018/pebble-time-awesome-smartwatch-no-compromises
6,"Mar 6, 2013","Apr 5, 2013",30,/projects/inxile/torment-tides-of-numenera
7,"Sep 14, 2012","Oct 16, 2012",32,/projects/obsidian/project-eternity
8,"May 1, 2015","Jun 16, 2015",46,/projects/playtonic/yooka-laylee-a-3d-platformer-rare-vival
9,"Jul 15, 2015","Aug 14, 2015",30,/projects/1041610927/znaps-the-9-magnetic-adapter-for-your-mobile-devic
