,artist.inverted,track,track_length_seconds,genre_clean,date_entered,date_peaked,season,weeks_to_peak,weeks_on_billboard,rank_entered,highest_rank,ranks_climbed,last_rank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,reached_top_10
0,Destiny's Child,Independent Women Part I,218,Rock,2000-09-23,2000-11-18,Fall,8.0,28,78,1.0,77.0,31.0,78,63.0,49.0,33.0,23.0,15.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,7.0,10.0,12.0,15.0,22.0,29.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1,Santana,"Maria, Maria",258,Rock,2000-02-12,2000-04-08,Winter,8.0,26,15,1.0,14.0,47.0,15,8.0,6.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,15.0,19.0,21.0,26.0,36.0,48.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2,Savage Garden,I Knew I Loved You,247,Rock,1999-10-23,2000-01-29,Fall,14.0,33,71,1.0,70.0,47.0,71,48.0,43.0,31.0,20.0,13.0,7.0,6.0,4.0,4.0,4.0,6.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,8.0,8.0,12.0,14.0,17.0,21.0,24.0,30.0,34.0,37.0,46.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
3,Madonna,Music,225,Rock,2000-08-12,2000-09-16,Summer,5.0,24,41,1.0,40.0,44.0,41,23.0,18.0,14.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,8.0,11.0,16.0,20.0,25.0,27.0,27.0,29.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
4,"Aguilera, Christina",Come On Over Baby (All I Want Is You),218,Rock,2000-08-05,2000-10-14,Summer,10.0,21,57,1.0,56.0,44.0,57,47.0,45.0,29.0,23.0,18.0,11.0,9.0,9.0,11.0,1.0,1.0,1.0,1.0,4.0,8.0,12.0,22.0,23.0,43.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
5,Janet,Doesn't Really Matter,257,Rock,2000-06-17,2000-08-26,Summer,10.0,24,59,1.0,58.0,41.0,59,52.0,43.0,30.0,29.0,22.0,15.0,10.0,10.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,7.0,8.0,20.0,25.0,37.0,40.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
6,Destiny's Child,Say My Name,271,Rock,1999-12-25,2000-03-18,Winter,12.0,32,83,1.0,82.0,47.0,83,83.0,44.0,38.0,16.0,13.0,16.0,16.0,16.0,18.0,17.0,14.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,5.0,7.0,10.0,13.0,14.0,18.0,23.0,23.0,34.0,37.0,43.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
7,"Iglesias, Enrique",Be With You,216,Latin,2000-04-01,2000-06-24,Spring,12.0,20,63,1.0,62.0,28.0,63,45.0,34.0,23.0,17.0,12.0,9.0,8.0,8.0,6.0,5.0,4.0,1.0,1.0,1.0,3.0,11.0,14.0,24.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
8,Sisqo,Incomplete,232,Rock,2000-06-24,2000-08-12,Summer,7.0,26,77,1.0,76.0,46.0,77,66.0,61.0,61.0,61.0,55.0,2.0,1.0,1.0,2.0,2.0,4.0,5.0,5.0,7.0,8.0,10.0,10.0,9.0,14.0,17.0,20.0,25.0,31.0,32.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
10,N'Sync,It's Gonna Be Me,190,Rock,2000-05-06,2000-07-29,Spring,12.0,25,82,1.0,81.0,48.0,82,70.0,51.0,39.0,26.0,19.0,15.0,9.0,7.0,7.0,5.0,4.0,1.0,1.0,3.0,4.0,6.0,10.0,13.0,15.0,18.0,23.0,28.0,38.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
