,Zip Code,Predicted Total Sales,Predicted Dollar/liter,Store Count,Area (sqkm),Stores per sqkm,Zip Sales - Total,Dollar per liter
0,50001,291865.3552,10.6551486796,,,,,
1,50002,826636.455743,13.2862981916,2.0,279.202219,0.00716326685068,381011.68,14.6547462999
18,50003,754388.437602,12.3458898868,3.0,298.086291,0.0100641998327,848056.22,12.715568882
49,50005,777155.227068,11.6507478028,,,,,
50,50006,546728.962612,12.7793672569,2.0,317.74515,0.00629435256526,1242260.44,13.4316358995
73,50007,367616.279362,9.28467803081,,,,,
74,50008,425964.144992,11.1685384286,,,,,
75,50009,2823695.90334,14.0066220498,9.0,65.207113,0.13802175232,1766726.88,15.9550610016
183,50014,2295561.39275,14.4539739651,4.0,144.826088,0.0276193333345,905650.26,14.3155686922
220,50021,5645295.38224,14.0006819318,12.0,66.725924,0.179840147287,4305280.56,14.0907744138
360,50022,854954.598942,11.9264781083,6.0,431.883311,0.0138926414779,1463536.68,11.7031777469
426,50025,1254964.67915,12.7035512561,2.0,507.431421,0.00394141930758,927692.38,11.3713683827
439,50026,714346.039013,11.9346628405,,,,,
440,50027,294499.854496,10.0890102911,,,,,
441,50028,628480.580604,12.6252271185,2.0,114.933651,0.0174013440154,192353.36,12.0030301896
453,50029,912260.11571,12.0183035165,,,,,
454,50032,1414175.02088,12.9872918499,,,,,
455,50033,191806.401905,15.6992995447,1.0,0.288201,3.46980059056,472368.24,13.2759606888
467,50034,149487.227331,7.66510848862,,,,,
468,50035,620462.655639,13.1308100781,1.0,116.89815,0.00855445531003,,
480,50036,1804693.37514,12.9833390411,9.0,505.063491,0.0178195418207,1514308.87,12.3925843465
580,50038,970266.802459,17.4520253166,,,,,
581,50039,292815.222554,14.5192253924,,,,,
582,50041,-1181044.37357,16.0787290508,,,,,
583,50042,1074208.26432,12.9704572639,,,,,
584,50044,1036977.99072,13.9287881844,1.0,118.473056,0.00844073778261,188463.6,9.11297435302
596,50046,396522.64633,13.1148863491,1.0,119.973352,0.00833518429993,147996.99,12.8197190346
605,50047,1331061.34242,12.8274563926,2.0,152.159628,0.01314409102,113059.38,14.4995511347
624,50048,513820.296696,11.4035214986,1.0,226.57327,0.00441358329692,426440.88,14.333665423
636,50049,1670081.45061,12.6350076792,2.0,523.124656,0.0038231805308,630366.48,13.7929736117
660,50051,598270.885848,12.0371905591,,,,,
661,50052,1036030.60862,11.0269360188,,,,,
662,50054,885412.549966,13.0002989871,2.0,152.872278,0.013082816755,1463890.68,11.6624082951
686,50055,673687.453909,12.4214473805,,,,,
687,50056,246605.385538,12.9726592095,1.0,149.192377,0.00670275532911,527103.36,12.3434159501
699,50057,877573.404926,12.6367282239,,,,,
700,50058,927344.167218,12.2215846613,2.0,364.231967,0.0054910062301,646132.71,12.2940004852
712,50061,1606847.7764,15.2303150772,1.0,81.699043,0.0122400454556,247661.28,13.3798638574
720,50062,1179582.9527,12.1951816222,,,,,
721,50063,586244.027835,10.8112166231,,,,,
722,50064,226679.845234,15.2929673644,,,,,
723,50065,950795.567212,12.7588720698,,,,,
724,50066,851925.54789,13.9926077645,,,,,
725,50067,554378.7428,12.7840543334,,,,,
726,50068,1038209.56474,11.7751954655,,,,,
727,50069,51397.1625159,8.07879936183,2.0,13.262492,0.150801221972,855711.12,12.4023491834
748,50071,754997.227556,11.6322833364,1.0,293.114182,0.00341163976842,276465.6,11.798432939
760,50072,600334.613393,13.2480803201,1.0,228.908869,0.00436855070041,323947.8,12.1933224027
772,50073,802420.754641,14.2335473904,,,,,
773,50074,1523631.86711,11.8676422929,,,,,
