,Store,Name,Store Status,Address,City,State,Zip Code,Report Date,Latitude,Longitude
0,3816,Swils,A,200 E Oak St,Red Oak,IA,51566,10/01/2016,41.016691,-95.230032
1,5194,Shelby General Store,A,"406, East St",Shelby,IA,51570,10/01/2016,41.515195,-95.450459
2,2106,Hillstreet News and Tobacco,A,2217 College,Cedar Falls,IA,50613,10/01/2016,42.517182,-92.455796
3,2113,Jamboree Foods,A,1119 Market St. Box 71,Gowrie,IA,50543,10/01/2016,42.28057,-94.289457
4,2130,Sycamore Convenience,A,617 Sycamore,Waterloo,IA,50703,10/01/2016,42.497804,-92.33528
5,2152,Dugans Supermarket,I,202 4th North,Rockwell,IA,50469,10/01/2016,42.986351,-93.188172
6,2178,"""Double """"D"""" Liquor Store""",A,618 Rossville Road,Waukon,IA,52172,10/01/2016,43.262069,-91.473622
7,2190,"Central City Liquor, Inc.",A,1460 2ND AVE,Des Moines,IA,50314,10/01/2016,41.60566,-93.619787
8,2191,Keokuk Spirits,A,1013 Main,Keokuk,IA,52632,10/01/2016,40.399961,-91.387717
9,2200,Sac Liquor Store,A,619 E Main St,Sac City,IA,50583,10/01/2016,42.421341,-94.974011
10,2205,Ding's Honk And Holler,I,900 E Washington,Clarinda,IA,51632,10/01/2016,40.739231,-95.027239
11,2228,Rodgers Spirits and More,A,53 Green St,Winterset,IA,50273,10/01/2016,41.336407,-94.012459
12,2233,Forbes Liquor Locker / remi,A,2508 Enterprise Ave,Spirit Lake,IA,51360,10/01/2016,43.416461,-95.126785
13,2238,Adventureland Inn,A,3200 Adventureland Dr,Altoona,IA,50009,10/01/2016,41.658515,-93.499151
14,2248,Ingersoll Liquor and Beverage,A,3500 Ingersoll Ave,Des Moines,IA,50312,10/01/2016,41.586319,-93.664182
15,2285,John's Grocery,A,401 East Market St,Iowa City,IA,52240,10/01/2016,41.663541,-91.529854
16,2290,Al's Liquors Unlimited,A,215 West Milwaukee,Storm Lake,IA,50588,10/01/2016,42.647492,-95.202405
17,2327,West Side Spirits,A,801 Hull St,Corning,IA,50841,10/01/2016,40.989239,-94.742993
18,2353,Cresco Liquor Store,I,708 2nd Ave SE,Cresco,IA,52136,10/01/2016,43.371131,-92.106529
19,2367,Spencer's Grocery,I,101 South Burnett,Shenandoah,IA,51601,10/01/2016,40.765459,-95.381936
20,2413,Beecher Beverage,A,1691 Asbury Road,Dubuque,IA,52001,10/01/2016,42.500817,-90.696908
21,2422,Marriott Corp.,A,700 Grand Avenue,Des Moines,IA,50309,10/01/2016,41.587503,-93.626508
22,2445,Ruback's Food Center,A,504 South Highway,Oakland,IA,51560,10/01/2016,41.301436,-95.402224
23,2448,Bottle Boutique,A,705 E. SECOND,Indianola,IA,50125,10/01/2016,41.358176,-93.552614
24,2459,Reinhart Foods,A,200 State Po Box 98,Guthrie Center,IA,50115,10/01/2016,41.680134,-94.505404
25,2460,"Liquor Barn, Inc.",A,721 Central Avenue West,Hampton,IA,50441,10/01/2016,42.741728,-93.21693
26,2465,Sid's Beverage Shop,A,2727 Dodge St,Dubuque,IA,52003,10/01/2016,42.4918,-90.704724
27,2475,"Private Cellar, Inc.",A,206 2nd Ave NE,West Bend,IA,50597,10/01/2016,42.96298,-94.443
28,2478,Prairie Meadows,A,One Prairie Meadows Drive,Altoona,IA,50009,10/01/2016,,
29,2487,Anamosa Family Foods,I,402 East Main,Anamosa,IA,52205,10/01/2016,42.108275,-91.281344
30,2498,Charley's Quik Shop,A,910 Main St,Arlington,IA,50606,10/01/2016,42.751114,-91.674871
31,2500,Hy-Vee Food Store #1 / Ames,A,3800 W Lincoln Way,Ames,IA,50010,10/01/2016,42.022832,-93.669899
32,2501,Hy-Vee  #2 / Ames,A,640 Lincolnway,Ames,IA,50010,10/01/2016,42.022848,-93.619455
33,2502,Hy-Vee Wine and Spirits / Ankeny,A,410 North Ankeny Blvd,Ankeny,IA,50021,10/01/2016,41.734644,-93.600406
34,2505,Hy-Vee Wine and Spirits / Boone,A,1111  8TH ST,Boone,IA,50036,10/01/2016,42.063831,-93.876107
35,2506,Hy-Vee #1044 / Burlington,A,3140 Agency,Burlington,IA,52601,10/01/2016,40.814659,-91.136617
36,2507,Hy-Vee Food Store #1 / Burlington,A,939 Angular,Burlington,IA,52601,10/01/2016,40.801908,-91.110637
37,2508,Hy-Vee Food Store #1 / Cedar Rapids,A,"1843 Johnson Avenue, N.W.",Cedar Rapids,IA,52405,10/01/2016,41.97447,-91.697941
38,2509,Hy-Vee / Drugtown #1 / Cedar Rapids,A,1520 6th St SW,Cedar Rapids,IA,52404,10/01/2016,41.96233,-91.677063
39,2512,Hy-Vee Wine and Spirits / Iowa City,A,1720 Waterfront Dr,Iowa City,IA,52240,10/01/2016,41.64272,-91.530436
40,2513,Hy-Vee Food Store #2 / Iowa City,A,812  S 1st Ave,Iowa City,IA,52240,10/01/2016,41.650954,-91.501984
41,2514,Hy-Vee Drugstore / Marion,A,2790 7th Avenue,Marion,IA,50129,10/01/2016,42.033239,-91.582279
42,2515,Hy-Vee Food Store #1 / Mason City,A,2400 4th St SW,Mason City,IA,50401,10/01/2016,43.148451,-93.235587
43,2517,Hy-Vee Food Store #1 / Newton,A,1501 First Avenue East,Newton,IA,50208,10/01/2016,41.699157,-93.033284
44,2518,Hy-Vee Wine and Spirits / Red Oak,A,1607 North Broadway,Red Oak,IA,51566,10/01/2016,41.019275,-95.232783
45,2521,Hy-Vee Food and Drug / Grand / WDM,A,1990 Grand Avenue,West Des Moines,IA,50265,10/01/2016,41.571127,-93.73162
46,2522,Hy-Vee Wine and Spirits / Spirit Lake,A,Hwy 9 & 71,Spirit Lake,IA,51360,10/01/2016,,
47,2523,Hy-Vee Food Store / Centerville,A,414 N 18th St,Centerville,IA,52544,10/01/2016,40.735639,-92.86795
48,2524,Hy-Vee Food Store / Dubuque,A,3500 Dodge St,Dubuque,IA,52001,10/01/2016,42.491944,-90.720589
49,2527,Hy-Vee Food Store #5 / Des Moines,A,1107 SE Army Post Rd,Des Moines,IA,50315,10/01/2016,41.526289,-93.602371
50,2528,Hy-Vee Food Store #3 / Des Moines,A,3221 SE 14th St,Des Moines,IA,50315,10/01/2016,41.554101,-93.596754
51,2529,Hy-Vee Drugstore #4 / Cedar Rapids,A,4825 Johnson Ave NW,Cedar Rapids,IA,52405,10/01/2016,41.968394,-91.733235
52,2532,Hy-Vee Food Store #2 / Des Moines,A,2540 E Euclid,Des Moines,IA,50317,10/01/2016,41.627838,-93.569452
53,2535,Hy-Vee Food Store #1 / WDM,A,1700 Valley West Dr,West Des Moines,IA,50265,10/01/2016,41.597749,-93.751985
54,2536,HY-VEE / PLEASANT HILL,A,4815 Maple Drive,Pleasant Hill,IA,50317,10/01/2016,41.598112,-93.51923
55,2538,Hy-Vee Food Store #3 / Waterloo,A,1422 Flammang Dr,Waterloo,IA,50702,10/01/2016,42.459938,-92.327917
56,2539,Hy-Vee Food Store / iowa Falls,A,Highway 65 South,Iowa Falls,IA,50126,10/01/2016,,
57,2543,Hy-Vee Food Store #1 / Ottumwa,A,1025 North Quincy Ave,Ottuwma,IA,52501,10/01/2016,41.015624,-92.438466
58,2544,Hy-Vee Food Store / Marshalltown,A,802 South Center,Marshalltown,IA,50158,10/01/2016,42.039049,-92.912859
59,2545,Hy-Vee Drugstore / Iowa City,A,310 N 1st St,Iowa City,IA,52245,10/01/2016,41.665901,-91.502069
60,2548,Hy-Vee Food Store / Altoona,A,100 8th Street SW,Altoona,IA,50009,10/01/2016,41.644041,-93.465301
61,2549,Hy-Vee Food Store / Indianola,A,910 N Jefferson,Indianola,IA,50125,10/01/2016,41.368369,-93.558428
62,2550,Hy-Vee Food Store / Osceola,A,510 West Mclane,Osceola,IA,50213,10/01/2016,41.030564,-93.773424
63,2551,Hy-Vee Food Store / Chariton,A,2001 West Court,Chariton,IA,50049,10/01/2016,41.014572,-93.323511
64,2552,Hy-Vee Food Store #3 / Cedar Rapids,A,20 Wilson Avenue West,Cedar Rapids,IA,52404,10/01/2016,41.955859,-91.658577
65,2553,Hy-Vee Food Store / Creston,A,600 Sheldon,Creston,IA,50801,10/01/2016,41.051313,-94.372767
66,2554,Hy-Vee Food Store / Davenport,A,3019 Rockingham Road,Davenport,IA,52802,10/01/2016,41.510613,-90.62056
