,Zip Code,Predicted Total Sales,Predicted Dollar/liter,Store Count,Area (sqkm),Stores per sqkm,Zip Sales - Total,Dollar per liter
0,50001,66164.6048289,11.2857692781,,,,,
1,50002,223656.53768,13.3142155325,2.0,279.202219,0.00716326685068,43680.0,14.9840485747
17,50003,498878.290641,13.4768758608,3.0,298.086291,0.0100641998327,452387.76,13.9431164633
44,50005,24225.5753182,5.17780985562,,,,,
45,50006,255360.548562,14.9976401426,2.0,317.74515,0.00629435256526,113657.52,14.205627381
62,50007,-70048.9592308,12.8253668627,,,,,
63,50008,98482.0213405,10.2100800236,,,,,
64,50009,1137776.35766,14.3881996998,9.0,65.207113,0.13802175232,2867551.34,14.7863753274
169,50014,2750554.04866,14.3698252297,4.0,144.826088,0.0276193333345,415894.63,14.0152808636
206,50021,2485954.30131,13.1439730836,12.0,66.725924,0.179840147287,1661771.85,13.742054749
343,50022,752275.718821,12.5021967048,6.0,431.883311,0.0138926414779,1104793.05,12.9483326866
405,50025,329206.363635,12.7217089638,2.0,507.431421,0.00394141930758,94061.94,11.3736679504
418,50026,163545.591337,11.9251336101,,,,,
419,50027,269424.248982,10.4758047572,,,,,
420,50028,375579.255545,11.5386640884,2.0,114.933651,0.0174013440154,13951.2,14.0218702259
432,50029,144304.37883,14.2826437898,,,,,
433,50032,566514.018365,10.6158612953,,,,,
434,50033,404423.764771,11.8931176428,1.0,0.288201,3.46980059056,54984.48,12.8669231417
446,50034,-68840.0448494,26.0999121158,,,,,
447,50035,271998.164241,16.076913538,1.0,116.89815,0.00855445531003,115970.76,14.2710760643
459,50036,1503595.76999,12.787454372,9.0,505.063491,0.0178195418207,1673319.39,12.7532083478
556,50038,510557.77217,14.1467145357,,,,,
557,50039,87935.6152903,8.71321870715,,,,,
558,50041,252658.014858,11.9728185343,,,,,
559,50042,31192.8383139,7.54532116604,,,,,
560,50044,106916.624549,10.1852815073,1.0,118.473056,0.00844073778261,16442.46,8.82579710145
569,50046,272603.262469,16.0072471193,1.0,119.973352,0.00833518429993,12828.51,12.9041281912
578,50047,621313.820279,13.3944655356,2.0,152.159628,0.01314409102,275648.7,11.1455216141
596,50048,130669.675062,9.94705831037,1.0,226.57327,0.00441358329692,40606.5,15.7879082426
606,50049,661653.820755,12.6264622432,2.0,523.124656,0.0038231805308,436927.38,14.0045405331
629,50051,45884.5867025,4.22433470653,,,,,
630,50052,-347050.041988,12.5389084451,,,,,
631,50054,454165.221742,13.2493031687,2.0,152.872278,0.013082816755,148507.38,11.8595373493
654,50055,179378.178086,10.0739583687,,,,,
655,50056,366133.669359,15.1172891299,1.0,149.192377,0.00670275532911,30421.8,10.5083937824
665,50057,78977.9741735,7.25012196544,,,,,
666,50058,167986.147301,14.789755739,2.0,364.231967,0.0054910062301,76824.2,12.379120038
678,50061,280986.43492,20.1194346892,1.0,81.699043,0.0122400454556,8869.92,12.9677192982
682,50062,142620.644665,10.7335091704,,,,,
683,50063,189626.57988,12.1584673865,,,,,
684,50064,189377.926146,10.8895584153,,,,,
685,50065,51265.5192101,11.4725686125,,,,,
686,50066,-20020.9554327,196.636779024,,,,,
687,50067,328109.672374,13.0683714934,,,,,
688,50068,14574.9077158,25.8270386164,,,,,
689,50069,377835.051059,12.2008138214,2.0,13.262492,0.150801221972,90623.04,12.2104514293
709,50071,-16771.7075363,17.1369199785,1.0,293.114182,0.00341163976842,12749.1,14.59375
716,50072,387602.721768,13.0274802519,1.0,228.908869,0.00436855070041,28546.5,10.4577426091
726,50073,303900.922262,14.2458612862,,,,,
727,50074,-229992.391151,9.97687542839,,,,,
728,50075,349883.680407,15.6692182109,1.0,119.369391,0.00837735697253,74736.24,12.198170672
740,50076,-15164.8301787,16.1736163804,1.0,290.651382,0.00344054789321,22957.44,10.5116483516
748,50078,179676.203864,12.1182453515,,,,,
749,50101,-98819.6374064,-47.9025575236,,,,,
750,50102,-165672.534599,14.7642499079,,,,,
751,50103,-25578.6364686,9.62784396852,,,,,
752,50104,238535.979716,68.4884000122,,,,,
753,50105,230090.085307,31.3300413637,,,,,
754,50106,177260.185847,13.4477683025,,,,,
755,50107,157836.104754,16.0541290442,1.0,130.433186,0.00766676051293,26043.21,11.2814424951
764,50108,122953.885622,15.4054316494,,,,,
765,50109,129850.139789,24.8183019627,1.0,62.757235,0.0159344177608,45244.2,11.5527331781
777,50111,1059004.73638,14.1023727693,6.0,71.484606,0.0839341549984,1345135.07,13.9660789182
848,50112,1379750.99687,12.7783887906,7.0,475.672153,0.0147160180722,1152139.34,14.2690997659
922,50115,111983.299757,11.5919626414,2.0,441.185334,0.00453324225868,88531.86,12.1170620745
935,50116,-88120.0987201,48.1447995878,,,,,
936,50117,213112.841151,12.9848546334,,,,,
937,50118,214914.028555,12.6071429866,,,,,
938,50119,151203.634661,8.26712339794,,,,,
939,50122,173338.97,14.0411587885,1.0,218.621364,0.00457411838305,46518.96,9.49862785455
951,50123,132933.936733,10.7793991124,1.0,204.584834,0.00488794785248,26602.95,10.6272795184
962,50124,540107.831353,16.9143084589,2.0,54.098688,0.0369694732708,84641.64,13.9024580134
980,50125,1238226.61214,12.5457164743,8.0,426.521944,0.0187563620408,1869697.92,12.2013381614
1071,50126,635984.079716,13.5436010806,5.0,351.87483,0.0142095983393,1020080.95,13.3002073625
1120,50128,159690.394168,11.4973821395,,,,,
1121,50129,611399.901825,12.6016413839,5.0,435.65865,0.0114768753013,824615.38,12.5403322472
1179,50131,630368.542853,14.9046033136,9.0,64.666939,0.13917467162,1529568.87,14.3389145869
1265,50132,124730.745893,10.09464885,,,,,
1266,50133,108230.092017,13.3335029045,,,,,
1267,50134,329306.594046,15.0028428003,,,,,
1268,50135,135488.138011,11.1014716389,1.0,195.278764,0.00512088452178,19260.99,14.3685117493
1275,50136,-2121.20725635,1.21713773322,1.0,100.632209,0.00993717627723,7363.35,11.0172065535
1280,50138,1019908.52308,12.3991069226,5.0,461.827288,0.0108265581743,951679.2,13.362167153
1340,50139,72295.6063594,12.5306454957,,,,,
1341,50141,-52728.5587272,9.79407247427,,,,,
1342,50142,224103.49293,13.3458197392,1.0,2.566675,0.389609124646,81746.52,13.5901727646
1354,50143,153861.955367,9.95044069883,,,,,
1355,50144,396229.425138,13.2432751348,3.0,362.605062,0.00827346420222,80122.54,13.5662952929
1383,50146,85917.1319827,5.59980813987,,,,,
1384,50147,-66050.5516028,165.652388449,,,,,
1385,50148,119582.96627,8.51222479344,,,,,
1386,50149,126336.100502,8.77574803636,,,,,
1387,50151,143003.245463,9.15997606418,,,,,
1388,50153,108291.62885,12.6105521508,,,,,
1389,50154,134304.908894,9.30943997592,,,,,
1390,50155,32179.1476857,3.65844952342,,,,,
1391,50156,445450.913169,13.3905484782,1.0,238.724015,0.00418893758971,102797.64,12.39254405
1403,50157,230431.436214,9.91521244252,,,,,
1404,50158,1784571.14281,14.3924893042,12.0,548.346934,0.0218839556783,1659464.15,14.3360300684
1518,50161,219125.970587,11.8374342711,1.0,211.812219,0.00472116294669,25944.0,11.122829582
1528,50162,310178.492165,12.4342413458,1.0,132.120698,0.00756883679195,2670.3,12.1102040816
1531,50164,206963.961381,11.7915433047,,,,,
1532,50165,385243.357991,25.4069824177,,,,,
1533,50166,197993.084108,11.4707088713,,,,,
1534,50167,249537.445613,14.6798945007,,,,,
1535,50168,178358.328564,10.2415501122,,,,,
1536,50169,370988.155542,13.2310405561,,,,,
1537,50171,207008.487306,11.3892002789,3.0,281.675684,0.0106505466052,285163.52,13.7104437713
1571,50173,-198095.244067,14.1988102204,,,,,
1572,50174,247605.846538,10.319564701,,,,,
1573,50201,843535.617731,13.2981503615,5.0,300.453642,0.0166415023852,457930.08,12.1353558481
1629,50206,88516.9094141,19.7347630766,,,,,
1630,50207,282675.901482,11.1180338698,1.0,366.588282,0.00272785587838,14904.72,14.81950783
1639,50208,1855142.2018,13.2644839979,6.0,426.046663,0.0140829644287,1662235.08,12.5863053106
1705,50211,484488.694316,12.7096944289,5.0,147.182178,0.0339715043488,691612.08,13.1441805518
1761,50212,441266.136681,12.4110316313,2.0,352.230522,0.00567809963953,86184.12,12.482853915
1781,50213,481134.220464,12.4227601229,6.0,543.975469,0.0110299091447,784683.12,13.8998086897
1843,50214,244417.903595,10.6846376126,,,,,
1844,50216,433057.620044,14.6915385001,2.0,145.699881,0.0137268471757,233752.32,12.5754422208
1868,50217,51738.1099245,10.2648835741,,,,,
1869,50218,182432.928265,8.85512327773,,,,,
1870,50219,1177782.05724,12.2549776972,3.0,317.144262,0.0094594175568,1144955.16,14.1610114401
1906,50222,-108633.802502,21.4170927839,,,,,
1907,50223,-31555.1703347,22.8716969153,,,,,
1908,50225,63501.1620894,11.3041096319,1.0,217.246336,0.0046030695772,82937.52,12.0009376465
1920,50226,443831.99049,14.2249476328,3.0,109.873855,0.0273040387998,333032.53,12.5135373479
1951,50227,-727807.270704,13.2841296062,,,,,
1952,50228,265677.641408,12.5940028542,1.0,180.367188,0.00554424566402,28496.71,14.5295008413
1963,50229,181346.855421,8.59369948717,,,,,
1964,50231,584214.667856,13.281096243,,,,,
1965,50232,126348.257014,9.10426654697,,,,,
1966,50233,235663.186109,12.0900222908,,,,,
1967,50234,283231.801038,10.0987806398,,,,,
1968,50235,87381.4727892,20.3287822076,,,,,
1969,50236,270249.188037,25.9190693978,,,,,
1970,50237,42088.8249532,17.2138003173,,,,,
1971,50238,179843.270286,10.4863259333,,,,,
1972,50239,89966.960342,11.575979328,,,,,
1973,50242,127400.509977,16.3467918742,,,,,
1974,50243,266857.935446,10.0079763048,,,,,
1975,50244,264223.115486,21.725854346,1.0,57.130248,0.0175038624023,99172.8,12.5051446556
1999,50246,113697.896034,16.516839152,,,,,
2000,50247,261765.331653,13.6837361235,2.0,215.968634,0.00926060401901,44048.16,11.4125047932
2016,50248,407880.054758,14.3414172579,5.0,211.580755,0.0236316388983,252988.72,11.9384533492
2072,50249,227598.338383,14.2769781399,1.0,202.332923,0.00494234939709,50396.4,12.7786398905
2084,50251,178377.269007,10.2620390308,1.0,104.817095,0.00954042849594,10455.6,14.9901075269
2089,50252,49864.2714794,13.9316439446,,,,,
2090,50254,159035.141854,10.0134847828,,,,,
2091,50256,95003.1498703,8.07559223716,,,,,
2092,50257,123101.141653,10.2693727591,,,,,
2093,50258,173201.359473,16.2148648685,,,,,
2094,50261,160455.628043,17.5026844741,1.0,173.242731,0.00577224795654,13228.8,9.60278745645
2102,50262,73891.2558461,8.52949811346,,,,,
2103,50263,697655.600981,15.147932822,5.0,90.002855,0.0555537932658,347035.92,13.3436965058
2161,50264,92531.9075248,9.15091434229,,,,,
2162,50265,1522764.97222,15.5082663507,15.0,46.466559,0.322812799631,1727138.23,14.9625112102
2323,50266,1500357.25685,14.9868190736,16.0,43.060835,0.371567341878,1807496.77,15.5479166142
2496,50268,143970.832877,13.4102019514,,,,,
2497,50271,195588.925456,11.0107553394,,,,,
2498,50272,16788.049892,3.4063233232,,,,,
2499,50273,751251.628315,11.769082917,5.0,519.17142,0.00963073044352,852858.92,11.4235466858
2554,50274,193444.657784,12.2855843252,,,,,
2555,50275,201297.008177,9.98213242151,,,,,
2556,50276,182019.266652,11.665372589,1.0,209.84696,0.00476537758755,28165.83,11.7320962199
2567,50277,217612.563475,12.61757079,,,,,
2568,50278,158961.136198,14.5471204179,,,,,
2569,50309,526919.477818,13.5375154131,6.0,7.776473,0.771558005795,416185.27,12.9445135963
2614,50311,2220386.85572,15.1394379985,7.0,6.511832,1.07496630748,2863517.54,14.6707417965
2693,50312,1014912.27223,14.8671368477,5.0,15.05106,0.332202515969,1468521.0,18.1983280827
2749,50313,1805492.93596,14.6581433733,9.0,47.635293,0.188935544072,678506.74,13.0055907192
2837,50314,1040166.95407,17.8393429968,6.0,6.629721,0.905015459927,743015.08,21.007511093
2894,50315,2869367.57342,14.6937044554,11.0,26.560331,0.414151465206,1735068.9,13.8406370173
3004,50316,1555814.20773,14.8973475182,7.0,9.302481,0.752487427816,1328301.15,15.527143312
3062,50317,3367310.47807,14.5120693577,20.0,60.041842,0.333101039772,4294976.15,14.3949730732
3287,50321,875076.207748,16.4733177241,5.0,30.969186,0.16145080468,328020.96,13.0668409863
3342,50322,2123069.09111,14.4724818793,19.0,27.938267,0.6800708147,1690107.93,15.8792421294
3520,50323,264096.660848,22.4824751465,4.0,19.984131,0.200158816013,117974.9,15.0865358548
3554,50325,1129678.39254,15.0900301372,9.0,20.224117,0.445013248292,807952.43,15.6322843866
3643,50401,3314504.47026,13.1116899357,13.0,387.509792,0.0335475393613,3286041.87,12.9145336408
3776,50421,280878.161914,12.2478080228,3.0,232.911303,0.0128804397269,326551.56,11.1140004084
3812,50423,177359.907596,12.2932493367,2.0,376.364842,0.00531399263909,134029.68,9.82226228427
