Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
AFL,Aflac Incorporated,70.96,$29.06B,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl
AFSD,Aflac Incorporated,25.84,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd
AIZ,"Assurant, Inc.",90.98,$5.48B,2004,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/aiz
CNO,"CNO Financial Group, Inc.",15.67,$2.74B,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/cno
PFG,Principal Financial Group Inc,52.33,$15.05B,2001,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/pfg
GTS,Triple-S Management Corporation,21.54,$529.32M,2007,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/gts
UNM,Unum Group,36.37,$8.53B,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/unm
CCO,"Clear Channel Outdoor Holdings, Inc.",5.75,$2.08B,2005,Consumer Services,Advertising,http://www.nasdaq.com/symbol/cco
HHS,"Harte-Hanks, Inc.",1.53,$94.11M,1993,Technology,Advertising,http://www.nasdaq.com/symbol/hhs
IPG,"Interpublic Group of Companies, Inc. (The)",22.66,$9.08B,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/ipg
OMC,Omnicom Group Inc.,82.87,$19.6B,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/omc
QUOT,Quotient Technology Inc.,11.96,$1B,2014,Consumer Services,Advertising,http://www.nasdaq.com/symbol/quot
TRMR,"Tremor Video, Inc.",1.62,$84.95M,2013,Technology,Advertising,http://www.nasdaq.com/symbol/trmr
YUME,"YuMe, Inc.",3.8,$130.18M,2013,Technology,Advertising,http://www.nasdaq.com/symbol/yume
AIR,AAR Corp.,30.71,$1.05B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
BA,Boeing Company (The),133.5,$83.28B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/ba
