,city,company,jobTitle,meanPay,rate,est_annual_salary
0,"Albany, NY",GE,Data Scientist,$100k - $108k,1,104000.0
1,"Arlington, TX",State Farm,Data Scientist,$100k - $110k,1,105000.0
2,"Arlington, TX",Epsilon,Data Scientist,$160k - $173k,1,166500.0
3,"Arlington, TX",Match,Data Scientist,$79k - $86k,1,82500.0
4,"Arlington, TX",Hudl,Data Scientist,$86k - $94k,1,90000.0
5,"Arlington, TX",AT&T,Data Scientist,$92k - $101k,1,96500.0
6,"Arlington, TX",IBM,Data Scientist,$102k - $113k,1,107500.0
7,"Arlington, TX",Capital One,Data Scientist,$104k - $114k,1,109000.0
8,"Arlington, TX",PwC,Data Scientist,$96k - $104k,1,100000.0
9,"Arlington, TX",KPMG,Data Scientist,$90k - $98k,1,94000.0
10,"Arlington, TX",Gallup,Data Scientist,$82k - $90k,1,86000.0
11,"Arlington, TX",Verizon,Data Scientist,$105k - $115k,1,110000.0
12,"Arlington, TX",Hewlett Packard Enterprise | HPE,Data Scientist,$91k - $101k,1,96000.0
13,"Arlington, TX",Hewlett-Packard,Data Scientist,$97k - $107k,1,102000.0
14,"Arlington, TX",Verizon Wireless,Data Scientist,$96k - $106k,1,101000.0
15,"Arlington, TX",Lockheed Martin,Data Scientist,$94k - $102k,1,98000.0
16,"Arlington, TX",Leidos,Data Scientist,$86k - $91k,1,88500.0
17,"Arlington, TX",Alliance Data,Data Scientist,$92k - $101k,1,96500.0
18,"Arlington, TX",Citi,Data Scientist,$92k - $101k,1,96500.0
19,"Arlington, TX",Humana,Data Scientist,$93k - $101k,1,97000.0
20,"Arlington, TX",Infovision,Data Scientist,$83k - $91k,1,87000.0
21,"Arlington, TX",Toyota North America,Data Scientist,$95k - $103k,1,99000.0
22,"Arlington, TX",Argo Data,Data Scientist,$92k - $100k,1,96000.0
23,"Arlington, TX",Kemper,Data Scientist,$91k - $99k,1,95000.0
24,"Arlington, TX",IBM,Entry Level Data Scientist,$90k - $99k,1,94500.0
25,"Arlington, TX",IBM,Senior Data Scientist,$115k - $126k,1,120500.0
26,"Arlington, TX",KPMG,Senior Data Scientist,$103k - $112k,1,107500.0
27,"Arlington, TX",Capital One,Senior Data Scientist,$118k - $127k,1,122500.0
28,"Arlington, TX",Verizon,Senior Data Scientist,$120k - $129k,1,124500.0
29,"Arlington, TX",Hewlett Packard Enterprise | HPE,Senior Data Scientist,$105k - $112k,1,108500.0
30,"Arlington, TX",AT&T,Senior Data Scientist,$119k - $129k,1,124000.0
31,"Arlington, TX",Hewlett-Packard,Senior Data Scientist,$110k - $120k,1,115000.0
32,"Arlington, TX",Alliance Data,Senior Data Scientist,$104k - $114k,1,109000.0
33,"Arlington, TX",Expedia,Senior Data Scientist,$130k - $142k,1,136000.0
34,"Arlington, TX",Elevate Credit,Senior Data Scientist,$123k - $133k,1,128000.0
35,"Arlington, TX",Raytheon,Senior Data Scientist,$105k - $114k,1,109500.0
