,title,company,location,summary,est_annual_sal
0,Machine Learning Engineer,Workbridge Associates,"San Francisco, CA",This person will be working alongside the Data Architect which is building back end and data ingestion pipelines....,135000.0
1,Senior Data Scientist,Workbridge Associates,"San Francisco, CA",A leading healthcare start up is looking to bring on a Senior Data Scientist to the team. The ideal candidate will have experience with health care data and...,165000.0
2,"Data Science Resident (DSR), and gU Resident",Galvanize,"San Francisco, CA","As part of the Residency program, you will receive dedicated mentorship from our expert instructors and faculty to cultivate your development as a data...",1250.0
3,Lead Data Scientist (Life Sciences),Workbridge Associates,"San Francisco, CA",A leading technology company is looking for Data Scientists to join their Engineering team to help transform data into insights....,165000.0
4,Associate Scientist,Hart,"South San Francisco, CA","Communicates data and interpretation to work group. Plans, monitors or conducts, analyzes and records experiments, and provides interpretation of data....",60000.0
5,Research and Systems Technology Analyst,Peralta Community College District,"Oakland, CA","Analyses data to develop reports; Perform professional-level duties in the analysis, evaluation, design, development, testing,implementation, documentation,...",84750.0
6,Save lives as a software engineer,Blue Owl,"San Francisco, CA","Experience working closely with data scientists. Created geospatial services before, such as maps data, routing and travel time prediction algorithms, traffic...",250000.0
7,"Research Data Analyst, CalSWEC",University of California Berkeley,"Berkeley, CA","Proposes methods to summarize, display and report data. Working skills in statistical analysis, system programming, database design and data security measures....",64990.0
8,Instrument Engineer,NESC Staffing Corp,"San Francisco, CA","Install, calibrate, troubleshoot and modify process control instruments or systems for manufacturing applications and control equipment for manufacturing...",46000.0
9,Senior Software Engineer - Python - Machine Learning,HERO.jobs,"San Francisco, CA",Integrate data storage solutions (both relational and noSQL). Able to integrate multiple data sources and databases into one system....,200000.0
10,UC Berkeley - BACEM Computer Support Analyst,Lawrence Berkeley National Laboratory,"Berkeley, CA 94720","QB3 scientists make. Innovative/automated approaches for data collection, storage and backup. Support the BACEM users running scope operation and data....",76250.0
11,Frontend/Data Visualization Developer,Jobspring Partners,"San Francisco, CA",Working with the top Data Scientist Team in the country. This Frontend Developer will be working directly with some of the top Data Scientists in the country on...,145000.0
12,Senior Data Analyst,Workbridge Associates,"San Francisco, CA","This person will be working alongside one other Data Engineer, one Data Scientist, and the Head of Data Analytics for this product team....",115000.0
13,Data scientist,Even,"Oakland, CA","Collaborate with our engineers on our internal APIs to ensure you spend less time fixing the way you get data, and more time understanding the data....",34142.0
14,"Administrative Officer, Physics",University of California Berkeley,"Berkeley, CA","And general administration including communications, visitor and event planning, travel arrangements, patent disclosures, status of patent applications,...",52300.0
15,Research Analyst 5,University of California Berkeley,"Berkeley, CA","About Berkeley The University of California, Berkeley, is one of the world’s most iconic teaching and research institutions. Since 1868, Berkeley has fueled",95000.0
16,Data Entry & Outreach Specialist,International Antiviral Society-USA (IAS-USA),"San Francisco, CA 94104 (Financial District area)","Data clean-up, data entry, data auditing, and more. Prior experience in a data entry / data processing position, required....",38000.0
17,Lead Data Scientist,Workbridge Associates,"San Francisco, CA",A leading healthcare startup is looking to bring on a Senior Data Scientist to their team. Knowledgeable with Big Data Solutions such as Hadoop or Spark....,145000.0
18,Assistant/Associate Project Scientist - Berkeley Seismologic...,University of California Berkeley,"Berkeley, CA",(f) integrating EEW information and activities into the data collection and real-time processing that contribute to the BSL's regular earthquake information and...,62850.0
19,Machine Learning/Data Engineer,Jobspring Partners,"San Francisco, CA","As a Data Engineer, you will act as the bridge from machine learning/data science to data engineering. 3+ years’ experience with Big Data technologies like...",165000.0
20,Data Engineer - Hadoop,Workbridge Associates,"San Mateo, CA",Well-established company founded by top scientists has an open job for a Hadoop Data Engineer in San Mateo....,117500.0
21,Data Science (Human Computation),Workbridge Associates,"San Francisco, CA",A leading San Francisco consumer web and personalized shopping company is looking to add a Data Scientist to their Human Computation team....,160000.0
22,Research Data Analyst 2,University of California Berkeley,"Berkeley, CA",Collects and generates original data sets for the purpose of complimenting existing data sets and to identify errors....,53800.0
