,Actors,Awards,Country,Director,Error,Genre,Language,Metascore,Plot,Poster,Rated,Released,Response,Runtime,Title,Type,Writer,Year,imdbID,imdbRating,imdbVotes
0,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist",Won 3 Oscars. Another 87 wins & 131 nominations.,USA,Damien Chazelle,,"Drama, Music",English,88,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4OTQ3MDUyMV5BMl5BanBnXkFtZTgwOTA2MjU0MjE@._V1_SX300.jpg,R,15 Oct 2014,True,107 min,Whiplash,movie,Damien Chazelle,2014,tt2582802,8.5,"413,720"
1,"Liam Card, Ana Candia, Eva Redpath, David Bajurny",N/A,Canada,Alberto Diamante,,"Comedy, Music, Romance",English,N/A,"A corpse lies on a living room floor. Our leads, Alex and Sarah are desperately trying to figure out what to do with the deceased Punjabi man Roger. Sarah is in panic, Alex tries to calm her down. Meanwhile, they start debating whether Roger is dead and whether Punjab is part of India or Pakistan. Then, suddenly, the body disappears. We flashback to Alex and Sarah's childhoods, they've been friends since kindergarten, and through high school. Both are smart, adventurous and hilarious. As kids, they have both been traumatized: Alex by the fact that the only picture of him allowed in the house was his embryonic ultrasound image; Sarah by the fact that her parents were swingers. As teens, Alex and Sarah are pranksters in school (Sarah hands in her assignments in Sanskrit) and outside (importuning a parking officer who is ticketing a car that does not even belong to them). The two lose touch with each other after high school. Sarah travels to the orient, while Alex becomes a stand up comedian. Then, one day, at a party, Sarah and Alex meet again. Sarah thinks it's more than just a coincidence and decides that they should keep in touch. They start getting to know each other better. However, Alex has an issue with Sarah's belief in astrology, the supernatural and various ""esoteric"" creeds. He particularly objects to her having a spiritual guide or ""guru"" (Roger, the man from the first scene) who, in Alex's view, is a phony and only wants to have sex with her. Alex and Sarah fall in love and move in together. Their experiences take them through trials and tribulations (as when Alex is hired to write a musical based on the life of Saddam Hussein, complete with a chorus of dancing girls called 'Al-Qaedettes,' or when he wants to move into a haunted house, which is very cheap, but which Sarah refuses to set foot into). Flash-forward: back to the living room, with Roger's body on the floor. We find out that Roger had made a pass at Sarah, who then hit him, making him collapse. While Alex and Sarah argue over where Roger is from (India or Pakistan) the man recovers and runs away. Just as Alex had predicted, Sarah's ""guru"", turns out to be nothing more than a snake-oil salesman. This creates a rift between them and they split up. However, Sarah eventually realizes that Alex is her soul mate and the two end up back together again for good.",http://ia.media-imdb.com/images/M/MV5BMjEwMzA0NDE3Nl5BMl5BanBnXkFtZTgwNzM2NjE3NjE@._V1_SX300.jpg,N/A,14 Oct 2011,True,90 min,Love... and Other Reasons to Panic,movie,Alberto Diamante,2007,tt0979965,7.9,47
2,"Gheorghe Cozorici, Sergiu Nicolaescu, Mircea Albulescu, Ion Besoiu",1 nomination.,"Romania, East Germany",Sergiu Nicolaescu,,"Adventure, Drama, War",Romanian,N/A,In 1918 a defeated Austro-Hungarian Baron Colonel Von Görtz returns home to Transylvania which has just been lost to Romania. A vengeful Von Görtz punishes the nearby villagers but Romanian Major Tudor Andrei aids them.,http://ia.media-imdb.com/images/M/MV5BMjYxYWM2Y2UtODFiYy00ZTc0LWE4NWYtOGI0MmZjZjkxYWUxXkEyXkFqcGdeQXVyMTM3OTE2Mzg@._V1_SX300.jpg,N/A,26 Jan 1981,True,111 min,Mercenaries' Trap,movie,"Liviu Gheorghiu (screenplay), Sergiu Nicolaescu (screenplay)",1981,tt0080494,7.5,278
3,"Ky Baldwin, Dylan Elchaar, Kate Fitzpatrick, Monique Hore",N/A,N/A,N/A,,Animation,N/A,N/A,"Autumn is here and it's time for a change. In these seven fun-filled episodes, Little Nutbrown Hare goes about exploring all the wonders and magic that the change of seasons brings to the meadow as Summer turns to Fall.",http://ia.media-imdb.com/images/M/MV5BMTAyMDQwNjAzMDNeQTJeQWpwZ15BbWU4MDA0NzcwODIx._V1_SX300.jpg,N/A,01 Sep 2014,True,72 min,Guess How Much I Love You: Autumn's Here,movie,N/A,2014,tt4061854,8.2,5
4,"Luis Aguilar, Julio Aldama, Roberto Cañedo, Noé Murayama",N/A,Mexico,Rafael Baledón,,"Adventure, Drama, Western",Spanish,N/A,N/A,N/A,N/A,12 Aug 1965,True,85 min,El tigre de Guanajuato: Leyenda de venganza,movie,José María Fernández Unsáin (story),1965,tt0281286,4.4,5
5,"Srihari, Arun Kumar Dasari, Chandramohan, Sanghavi",N/A,India,Sai Balaji,,"Drama, Action, Romance",Telugu,N/A,N/A,N/A,N/A,12 Apr 2001,True,N/A,Orey Thammudu,movie,"Krishna Murali Posani (dialogue), Krishna Murali Posani (story)",2001,tt0285845,N/A,N/A
6,"Marguerite Sundberg, Michael Flores, Mark Chiappone, Beth Pratt",N/A,USA,"J.T. Boone, John Craddock",,"Action, Drama, Horror",English,N/A,"The military's attempt to shoot down an orbiting satellite unleashes a space-borne epidemic on a remote, small town. Deputy Max Brody and his girlfriend Brooke must battle their way through an army of infected townsfolk and soldiers as they struggle to save themselves and their loved ones from a horrible, early death. When cannibalism is contagious, will even the strong survive?",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2OTI4NzA3NF5BMl5BanBnXkFtZTcwNjMyNzA3Ng@@._V1_SX300.jpg,N/A,12 Mar 2013,True,80 min,Germ,movie,J.T. Boone,2013,tt1495776,3.6,664
7,"William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa",Won 7 Oscars. Another 23 wins & 7 nominations.,"UK, USA",David Lean,,"Adventure, Drama, War","English, Japanese, Thai",N/A,"After settling his differences with a Japanese PoW camp commander, a British colonel co-operates to oversee his men's construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTEwOTE4OGMtM2ZmMC00NmZmLThlM2ItNmYxNWJkNWM4YjJkXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,PG,14 Dec 1957,True,161 min,The Bridge on the River Kwai,movie,"Pierre Boulle (novel), Carl Foreman (screenplay), Michael Wilson (screenplay)",1957,tt0050212,8.2,"151,604"
8,"Dharmendra, Rimi Sen, Ashwini Kalsekar, Neil Nitin Mukesh",3 wins & 1 nomination.,India,Sriram Raghavan,,"Crime, Drama, Thriller",Hindi,N/A,"Police officers recount a tale of missing money which results in lies, deceit, betrayal and death.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDE4MmU1YTktMzY1OS00NWQ4LWExZmYtZjI3MzJjNGIxZTcxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,N/A,28 Sep 2007,True,135 min,Johnny Gaddaar,movie,"Vinay Choudary (additional screenplay), Sriram Raghavan",2007,tt1077248,8.0,"7,441"
9,Barbara Ruick,N/A,Germany,Lotte Reiniger,,Animation,N/A,N/A,N/A,N/A,N/A,N/A,True,N/A,The Star of Bethlehem,movie,N/A,1921,tt0146290,4.9,26
