,rating_higher_8.5,imdbRating,imdbID,Title,Writer,Actors,Director,Plot,Metascore,Year,Month,imdbVotes,Gross_earnings,Runtime_min,Oscars_won,Language_English,Language_French,Language_German,Language_Spanish,Language_Italian,Language_Japanese,Language_Russian,Language_Latin,Language_Arabic,Language_Cantonese,Country_USA,Country_ UK,Country_ USA,Country_UK,Country_Japan,Country_Italy,Country_ France,Country_ Germany,Country_France,Country_ Spain,G,PG,PG-13,R,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Film-Noir,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Actor_robert_de_niro,Actor_harrison_ford,Actor_leonardo_dicaprio,Actor_clint_eastwood,Actor_tom_hanks,Actor_mark_hamill,Actor_james_stewart,Actor_christian_bale,Actor_matt_damon,Actor_joe_pesci,Actor_al_pacino,Actor_charles_chaplin,Actor_carrie_fisher,Actor_tom_hardy,Actor_morgan_freeman,Director_martin_scorsese,Director_alfred_hitchcock,Director_christopher_nolan,Director_stanley_kubrick,Director_steven_spielberg,Director_quentin_tarantino,Director_hayao_miyazaki,Director_billy_wilder,Director_akira_kurosawa,Director_sergio_leone,Director_charles_chaplin
0,1,8.5,tt2582802,Whiplash,Damien Chazelle,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist",Damien Chazelle,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,0.880237955463,1.23762118214,0.936661719597,0.00415066420246,-0.525876237218,-0.682988898852,0.75612734557,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,8.7,tt0047478,Seven Samurai,"Akira Kurosawa (screenplay), Shinobu Hashimoto (screenplay), Hideo Oguni (screenplay)","Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",Akira Kurosawa,"A veteran samurai, who has fallen on hard times, answers a village's request for protection from bandits. He gathers 6 other samurai to help him, and they teach the townspeople how to defend themselves, and they supply the samurai with three small meals a day. The film culminates in a giant battle when 40 bandits attack the village.",1.14001777941,-1.24059504161,1.21345300789,-0.532258097714,-0.625706700666,2.39409210156,-0.590892866253,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,8.5,tt0082971,Raiders of the Lost Ark,"Lawrence Kasdan (screenplay), George Lucas (story by), Philip Kaufman (story by)","Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey",Steven Spielberg,"The year is 1936. An archeology professor named Indiana Jones is venturing in the jungles of South America searching for a golden statue. Unfortunately, he sets off a deadly trap but miraculously escapes. Then, Jones hears from a museum curator named Marcus Brody about a biblical artifact called The Ark of the Covenant, which can hold the key to humanly existence. Jones has to venture to vast places such as Nepal and Egypt to find this artifact. However, he will have to fight his enemy Rene Belloq and a band of Nazis in order to reach it.",0.802304008279,-0.125397740922,-0.170503433591,0.76474317851,1.25915710369,-0.436822418819,1.20513408284,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0,8.2,tt0050212,The Bridge on the River Kwai,"Pierre Boulle (novel), Carl Foreman (screenplay), Michael Wilson (screenplay)","William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa",David Lean,"After settling his differences with a Japanese PoW camp commander, a British colonel co-operates to oversee his men's construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it.",-1.40582449527,-1.11668423042,1.49024429619,-0.770636045733,-0.416041184713,0.978634841372,2.55215429467,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,8.1,tt0848228,The Avengers,"Joss Whedon (screenplay), Zak Penn (story), Joss Whedon (story)","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",Joss Whedon,"Nick Fury is the director of S.H.I.E.L.D., an international peace-keeping agency. The agency is a who's who of Marvel Super Heroes, with Iron Man, The Incredible Hulk, Thor, Captain America, Hawkeye and Black Widow. When global security is threatened by Loki and his cohorts, Nick Fury and his team will need all their powers to save the world from disaster.",0.386656289963,1.15501397468,-0.447294721888,1.766787769,4.22461860702,0.424760261297,-0.590892866253,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,8.1,tt1663202,The Revenant,"Mark L. Smith (screenplay), Alejandro G. Iñárritu (screenplay), Michael Punke (based in part on the novel by)","Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter",Alejandro G. Iñárritu,"While exploring the uncharted wilderness in 1823, legendary frontiersman Hugh Glass sustains injuries from a brutal bear attack. When his hunting team leaves him for dead, Glass must utilize his survival skills to find a way back home while avoiding natives on their own hunt. Grief-stricken and fueled by vengeance, Glass treks through the wintry terrain to track down John Fitzgerald, the former confidant who betrayed and abandoned him.",0.568502166726,1.27892478587,-1.55445987508,0.058462232395,0.801859843534,0.824780791351,0.75612734557,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,0,8.1,tt0338564,Infernal Affairs,"Alan Mak, Felix Chong","Andy Lau, Tony Chiu Wai Leung, Anthony Chau-Sang Wong, Eric Tsang","Wai-Keung Lau, Alan Mak","Chan Wing Yan, a young police officer, has been sent undercover as a mole in the local mafia. Lau Kin Ming, a young mafia member, infiltrates the police force. Years later, their older counterparts, Chen Wing Yan and Inspector Lau Kin Ming, respectively, race against time to expose the mole within their midst.",0.542524184331,0.741977937392,1.49024429619,-0.944619876353,-0.627103905611,-0.867613758877,-0.590892866253,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,8.2,tt0046268,The Wages of Fear,"Georges Arnaud (novel), Henri-Georges Clouzot (adaptation), Jérôme Géronimi (adaptation)","Yves Montand, Charles Vanel, Folco Lulli, Peter van Eyck",Henri-Georges Clouzot,"In a decrepit South American village, men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",-1.40582449527,-1.28189864534,-1.27766858678,-1.11284267255,-0.627801422034,0.0555105412475,-0.590892866253,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,8.3,tt0055630,Yojimbo,"Akira Kurosawa (story), Akira Kurosawa (screenplay), Ryûzô Kikushima (screenplay)","Toshirô Mifune, Tatsuya Nakadai, Yôko Tsukasa, Isuzu Yamada",Akira Kurosawa,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,-1.40582449527,-0.951469815507,0.6598704313,-0.996132214379,-0.627801422034,-0.590676468839,-0.590892866253,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,0,8.2,tt0266543,Finding Nemo,"Andrew Stanton (original story by), Andrew Stanton (screenplay), Bob Peterson (screenplay), David Reynolds (screenplay)","Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe","Andrew Stanton, Lee Unkrich","A clown fish named Marlin lives in the Great Barrier Reef loses his son, Nemo. After he ventures into the open sea, despite his father's constant warnings about many of the ocean's dangers. Nemo is abducted by a boat and netted up and sent to a dentist's office in Sydney. So, while Marlin ventures off to try to retrieve Nemo, Marlin meets a fish named Dory, a blue tang suffering from short-term memory loss. The companions travel a great distance, encountering various dangerous sea creatures such as sharks, anglerfish and jellyfish, in order to rescue Nemo from the dentist's office, which is situated by Sydney Harbor. While the two are doing this, Nemo and the other sea animals in the dentist's fish tank plot a way to return to Sydney Harbor to live their lives free again.",0.932193920252,0.783281541121,-0.447294721888,0.864575490697,2.33714451519,-0.898384568881,-0.590892866253,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
