,id,random
0,tt4061854,77
1,tt0030726,51
2,tt0050212,0
3,tt0036409,23
4,tt2818724,85
5,tt1245468,92
6,tt1758755,51
7,tt1196651,96
8,tt3418854,35
9,tt0368578,51
10,tt0185757,52
11,tt4587000,64
12,tt0333215,28
13,tt0199481,18
14,tt1378811,68
15,tt1146304,75
16,tt2865984,16
17,tt0973837,73
18,tt0788069,52
19,tt1979317,35
20,tt1975159,1
21,tt0404213,34
22,tt1964678,2
23,tt0177889,7
24,tt1634329,31
25,tt0349878,88
26,tt4280842,63
27,tt0055797,54
28,tt0031983,49
29,tt0426996,53
30,tt0097070,87
31,tt0062775,64
32,tt4761964,10
33,tt0049406,58
34,tt0108212,22
35,tt0108211,57
36,tt0083185,36
37,tt0060558,84
38,tt0358551,14
39,tt0213847,32
40,tt0047449,56
41,tt0498536,56
42,tt0034006,52
43,tt0208879,48
44,tt3704538,17
45,tt0266971,10
46,tt0083987,35
47,tt0020700,27
48,tt0156611,78
49,tt0230600,99
50,tt0192111,11
51,tt0420233,65
52,tt0016884,73
53,tt0069704,1
54,tt0040720,67
55,tt3854372,27
56,tt1343092,67
57,tt0064505,53
58,tt0309530,37
59,tt0046536,93
60,tt0042692,98
61,tt0435625,78
62,tt0046539,14
63,tt1734113,67
64,tt1816518,79
65,tt0084296,35
66,tt4212800,75
67,tt6035564,33
68,tt0080455,12
69,tt2582846,8
70,tt2002718,23
71,tt1349646,34
72,tt0109305,70
73,tt0026272,28
74,tt4111334,67
75,tt2865618,65
76,tt1989523,97
77,tt0050539,5
78,tt0969332,35
79,tt0042342,94
80,tt0350554,74
81,tt0235166,94
82,tt0028016,35
83,tt0028010,0
84,tt0038928,24
85,tt0307692,95
86,tt0071941,80
87,tt0780660,7
88,tt0039037,56
89,tt0327227,4
90,tt3839880,51
91,tt0164078,76
92,tt1725969,11
93,tt0111168,69
94,tt0017136,65
95,tt0080678,81
96,tt0330994,40
97,tt0031398,41
98,tt2622602,22
99,tt0264464,93
100,tt0084602,93
101,tt0120152,50
102,tt0169547,0
103,tt0069962,45
104,tt0393941,34
105,tt2793312,96
106,tt1691451,17
107,tt1780798,21
108,tt5801026,43
109,tt2736854,33
110,tt5667482,84
111,tt2657648,72
112,tt0033352,94
113,tt0179476,73
114,tt0402364,49
115,tt0116209,43
116,tt5049258,13
117,tt3659162,46
118,tt0268978,94
119,tt0041610,91
120,tt0331232,57
121,tt0273799,55
122,tt1686831,91
123,tt0263118,36
124,tt0021491,85
125,tt1673509,41
126,tt4273500,72
127,tt3033080,41
128,tt1255953,66
129,tt1893371,4
130,tt4568358,20
131,tt4072326,93
132,tt0079116,87
133,tt5922386,74
134,tt2328797,32
135,tt3800674,47
136,tt0332379,50
137,tt4422796,21
138,tt0050680,93
139,tt0050681,8
140,tt1269701,53
141,tt0088987,79
142,tt4842296,2
143,tt0128985,23
144,tt0100339,26
145,tt4302938,1
146,tt1077258,77
147,tt2267524,73
148,tt2022520,67
149,tt0255477,43
150,tt0051624,85
151,tt0004028,7
152,tt5164558,52
153,tt0198749,43
154,tt1278099,81
155,tt0118757,62
156,tt0266697,98
157,tt4618398,9
158,tt4583448,62
159,tt0048124,65
160,tt0277969,93
161,tt0031867,88
162,tt0102939,37
163,tt1764625,75
164,tt5321646,15
165,tt1551641,73
166,tt1980929,7
167,tt0104437,14
168,tt0499549,77
169,tt1980254,72
170,tt3544654,23
171,tt3338230,67
172,tt0126388,26
173,tt0058461,64
174,tt1457767,1
175,tt5471570,23
176,tt0151571,86
177,tt5537724,39
178,tt0369239,4
179,tt4626160,71
180,tt0067286,48
181,tt0362227,15
182,tt0156409,89
183,tt0421238,14
184,tt0421237,27
185,tt2488496,93
186,tt1525915,68
187,tt0022566,32
188,tt0349113,82
189,tt0051036,24
190,tt0091886,3
191,tt1671454,97
192,tt3296434,61
193,tt0137523,3
194,tt0283353,25
195,tt0163000,89
196,tt0012998,36
197,tt0043751,0
198,tt0408807,75
199,tt5047160,57
200,tt1611965,44
201,tt0097875,23
202,tt0052171,57
203,tt2292948,20
204,tt5311724,98
205,tt0081441,93
206,tt0330830,33
207,tt3585116,19
208,tt0395480,81
209,tt1446838,24
210,tt0039191,56
211,tt4151346,85
212,tt0328707,97
213,tt0032740,92
214,tt3033578,66
215,tt0109445,68
216,tt0038020,66
217,tt0120382,86
218,tt0038026,62
219,tt0120389,85
220,tt0142340,32
221,tt0142346,67
222,tt2569414,87
223,tt1741605,18
224,tt0064718,91
225,tt0044565,6
226,tt0064712,90
227,tt0064711,8
228,tt0228778,53
229,tt0053221,58
230,tt2140479,54
231,tt0241291,98
232,tt0475723,47
233,tt0078987,20
234,tt0054026,95
235,tt5480768,2
236,tt0135788,42
237,tt0346585,59
238,tt0044706,87
239,tt0099733,85
240,tt0099088,67
241,tt4705682,27
242,tt1764360,42
243,tt3848600,35
244,tt1481363,32
245,tt1329424,74
246,tt0341601,11
247,tt3316948,79
248,tt0048992,85
249,tt1173568,35
250,tt0054248,7
251,tt1843834,21
252,tt0205306,78
