,id_num,title,length,genres,directors,writers,stars,plot,keywords,rating,num_rating
0,tt4061854,Guess How Much I Love You: Autumn's Here (2014) - IMDb,1h 12min,Animation,Steve_Moltzen,,Ky_Baldwin Dylan_Elchaar Kate_Fitzpatrick,"Autumn is here and it's time for a change. In these seven fun-filled episodes, Little Nutbrown Hare goes about exploring all the wonders and magic that the change of seasons brings to the meadow as Summer turns to Fall. Autumn is here and it's time for a change. In these seven fun-filled episodes, Little Nutbrown Hare goes about exploring all the wonders and magic that the change of seasons brings to the meadow as Summer turns to Fall.",,8.7,7
1,tt0030726,Secrets of a Nurse (1938) - IMDb,1h 15min,Drama Mystery Sport,Arthur_Lubin,Lester_Cole Thomas_Lennon,Edmund_Lowe Helen_Mack Dick_Foran,"When battered prize-fighter Lee Burke is taken to the West Side hospital, nurse Katherine MacDonald leaves her romantically-inclined patient, wealthy attorney John Dodge to take care of ...
                    See full summary » When battered prize-fighter Lee Burke is taken to the West Side hospital, nurse Katherine MacDonald leaves her romantically-inclined patient, wealthy attorney John Dodge to take care of Burke. She discovers that Burke was doped by his handler, Churchill, on instructions from gambler Joe Largo so the latter can win a $5000 bet from Burke's manager Slice Cavanaugh. Largo orders henchman Larry Carson to bump off Churchill to keep him from talking. Katherine talks Burke into quitting the ring and Dodge belittles the ex-boxer by getting him a job as a bellhop. Cavanaugh, desperate for money, calls Burke yellow and when Burke happens upon the scene where another Largo henchman, Smiley, has killed the manager, Burke is tried for the murder.",,7.2,5
2,tt0050212,The Bridge on the River Kwai (1957) - IMDb,2h 41min,Adventure Drama War,David_Lean,Pierre_Boulle Carl_Foreman,William_Holden Alec_Guinness Jack_Hawkins,"After settling his differences with a Japanese PoW camp commander, a British colonel co-operates to oversee his men's construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it. The film deals with the situation of British prisoners of war during World War II who are ordered to build a bridge to accommodate the Burma-Siam railway. Their instinct is to sabotage the bridge but, under the leadership of Colonel Nicholson, they are persuaded that the bridge should be constructed as a symbol of British morale, spirit and dignity in adverse circumstances. At first, the prisoners admire Nicholson when he bravely endures torture rather than compromise his principles for the benefit of the Japanese commandant Saito. He is an honorable but arrogant man, who is slowly revealed to be a deluded obsessive. He convinces himself that the bridge is a monument to British character, but actually is a monument to himself, and his insistence on its construction becomes a subtle form of collaboration with the enemy. Unknown to him, the Allies have sent a mission into the jungle, led by Warden and an American, Shears, to blow up the bridge. During WWII, the Japanese have set up a POW camp in Indochina on an island on the banks of the Kwai River. The primary purpose of this location is so that the Japanese can use the labor of the POWs to construct a railway bridge over the river, the bridge which will be a vital link for the Japanese forces in the war. It needs to be completed in five month's time. The camp is presided over by Colonel Saito, a man ruled by a mixture of Japanese cultural tradition and the need to win the war at any cost, even if it includes torture and other measures against the Geneva Convention. Among the officers at the camp are Colonel Nicholson, the senior British officer for who the principle of the matter is foremost regardless of the consequences; Major Clipton, the pragmatic medical officer; and US Navy Commander Shears who is more concerned about his own well being and that of those around him than he is about the big picture of the war. Against the assertions of its futility by both Saito and Nicholson, three POWs try to escape - among them being Shears - with all being shot. Everyone believes Shears is dead, but he manages to survive and make it out of the jungle back to safety. At the camp, a battle of wills ensues between Nicholson and Saito, specifically regarding the illegal use of POW officers as laborers to build the bridge. Nicholson wins the respect of the POWs because of this standoff. But Nicholson ultimately has other thoughts, namely taking control of the building of a proper, well made bridge to replace the haphazard one currently being directed by Saito. Nicholson's rationale is that it will raise the morale of the POWs by giving them something constructive to do, while demoralizing the enemy by showing them the superiority of the British. Meanwhile, as Shears is convalescing at a beach-side military hospital in Ceylon, he is certain he will get his wish of a medical discharge. His plans are disrailed when he is asked to participate in a British led four man commando mission to destroy the bridge under the command of Major Warden, the antithesis of Shears in that he can only see the big picture without seeing the personal cost to those around him. This offer is one that Shears cannot refuse. The four understand the risks - the perils of the jungle and the Japanese - but they may not fully realize that their biggest threat for carrying out the mission successfully is Nicholson's pride. After settling his differences with a Japanese PoW camp commander, a British colonel co-operates to oversee his men's construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it.",bridge jungle allies construction sabotage sweat hardship brutality uniform coercion british_military military_officer japanese_military prisoner_of_war railroad demolition prisoner_of_war_camp river torture military commando escape indochina geneva_convention ceylon pride tropics box_office_hit epic emaciation starvation combat war_violence ironic_ending world_war_two main_character_dies task_force blowing_up_a_bridge plunger_detonator bare_chested_male foreign_language_adaptation sweat_box bridge_construction british_soldier behind_enemy_lines corporal_punishment sword japanese_army imperial_japan british_army train blockbuster forced_labor famous_score burma drag exploding_bridge camouflage soldier discipline cemetery thailand canoe whistling train_wreck mortar vulture amnesty kite beach funeral leech river_rapids katana_sword army raft injury stalemate paratrooper stabbing 1940s impersonation shame face_slap falling_from_height bat military_training based_on_true_story based_on_novel title_spoken_by_character american martial_arts swimming briton,8.2,"152,257"
3,tt0036409,Swingtime Johnny (1943) - IMDb,1h 1min,Comedy Music,Edward_F._Cline,Warren_Wilson Clyde_Bruckman,Patty_Andrews Maxene_Andrews Laverne_Andrews,"The Andrews Sisters take a hiatus from show business to aid the war effort. They take on jobs at a pipe-organ plant now making artillery shells. But they still find time for plenty of ...
                    See full summary » The Andrews Sisters take a hiatus from show business to aid the war effort. They take on jobs at a pipe-organ plant now making artillery shells. But they still find time for plenty of singing and dancing.",dancing singing artillery_shell california pop_music hit_parade swing_music actress_shares_last_name_with_character actress_shares_first_and_last_name_with_character actress_shares_first_name_with_character fundraiser raffle_wheel carnival frenchman cigarette_smoking cut_a_rug jitterbug boogie_woogie slang dancer 1940s soldier burlesque war_plant sister_act b_movie world_war_two singer character_name_in_title,7.2,18
4,tt2818724,The Tragedy of Macbeth (2012) - IMDb,,Animation,Dan_Gallagher,William_Shakespeare,Mirai_Booth-Ong James_Curcione Dan_Gallagher,Add a Plot »,sci_fi_fan shakespearean teaching learning blender cgi macbeth reference_to_william_shakespeare independent_film,6.2,5
5,tt1245468,The Wanderer in the Land of Elementalia (2008) - IMDb,1h 30min,Animation Adventure Fantasy,Robert_Quilao,Artemio_Abad Eric_Cabahug,Nash_Aguas Katrina_Michelle_Legaspi Michael_V.,"""Dayo"" follows the adventure of 11-year-old Bubuy as he tries to save his grandparents who have been abducted and brought to Elementalia, a mysterious and magical land that is home to popular creatures of Philippine mythology. ""Dayo"" follows the adventure of 11-year-old Bubuy as he tries to save his grandparents who have been abducted and brought to Elementalia, a mysterious and magical land that is home to popular creatures of Philippine mythology.",magical_land creature philippine_mythology grandparent 11_year_old balete_tree grandmother_grandson_relationship orphan product_placement dwarf nuno_sa_punso kapre manananggal bully tikbalang wanderer abduction one_word_title,7.6,25
6,tt1758755,Shi (2012) - IMDb,1h 29min,Crime Romance Thriller,Everett_Kelsey,Sabina_Bußmann-Kelsey Everett_Kelsey,Everett_Kelsey Hazuki_Kato Sabina_Bußmann-Kelsey,"Haunted by a painful event in the past, developer, Trevor Harris finds himself searching for a vehicle to bring him peace. At first glance, one would think he has his addictions, and ...
                    See full summary » Haunted by a painful event in the past, developer, Trevor Harris finds himself searching for a vehicle to bring him peace. At first glance, one would think he has his addictions, and successful life in check. His lifestyle, and lovely caring wife are evidence of this. But something brews behind Trevor's eyes, corrosively attacking his psyche after a chance encounter with a seductive Asian lady named, Shi. Tantalized by her beauty and freedom she brings behind closed doors, Trevor loses control of his life, as his demons return. 'But did Trevor ever really have his life under control?' we ask, after learning, in the balance between what is beyond our understanding, and what is earthly.... Trevor's life was never what it seemed to have been.",,4.0,5
7,tt1196651,Last Looks (2008) - IMDb,,Comedy Horror,Barry_Alexander_Brown,Barry_Alexander_Brown,Numan_Acar Nicholas_Brown Ryan_Denmark,Add a Plot »,mocku_horror two_word_title sucker_pitch sucker publicity_stunt hoax gullible gullibility false_advertisement duped dupe deceptive_advertising deception deceit credulousness associated_press,7.4,10
8,tt3418854,Burning Dog (2016) - IMDb,,Thriller,Trey_Batchelor,Trey_Batchelor,Greg_Grunberg Salvator_Xuereb Adrienne_Wilkinson,Add a Plot »,,9.3,11
9,tt0368578,Are We There Yet? (2005) - IMDb,1h 35min,Adventure Comedy Family,Brian_Levant,Steven_Gary_Banks Claudia_Grazioso,Ice_Cube Nia_Long Aleisha_Allen,"Nick Persons is a selfish player who owns a collectables sports shop in Vancouver. Everything in his life is perfect until he meets Suzanne Kingston, a business woman who has something Nick...
                    See full summary » Nick Persons is a selfish player who owns a collectables sports shop in Vancouver. Everything in his life is perfect until he meets Suzanne Kingston, a business woman who has something Nick hates - children: Lindsey and Kevin. Nick and Suzanne become friends and share good moments with each other. But Nick's peaceful life gets altered when Suzanne asks him to drive her kids to Vancouver. After the 3 miss a plane and then, train, they drive. Unfortunately, Kevin and Lindsey hate Nick, and he has to try to make it to Vancouver, unaware of the terror and torture he is in for. The fledgling romance between Nick, a playboy bachelor, and Suzanne, a divorced mother of two, is threatened by a particularly harrowing New Year's Eve. When Suzanne's work keeps her in Vancouver for the holiday, Nick offers to bring her kids to the city from Portland, Oregon. The kids, who have never liked any of the men their mom has dated, are determined to turn the trip into a nightmare for Nick.",car_fire cockroach independent_film new_year children highway_travel road_movie on_the_road vomiting jersey nintendo_gamecube_controller gamecube_controller new_year's_kiss basketball_ball christmas nintendo_gamecube lincoln_navigator lincoln_motor_company basketball portland_trail_blazers blockbuster love scared_animal passenger_train jumping_a_train inhaler freight_train camera bobble_head_doll asthma question_in_title single_mother singing product_placement hit_in_the_groin violence thirty_something road_trip mud mother_child_relationship man_child grape_juice family_relationships divorcee cruelty babysitter african_american title_spoken_by_character,4.6,"23,014"
